model,scaling,feature_selection,balancing,min_across_tasks,max_across_tasks,mean_across_tasks,std_across_tasks,range,n_tasks
RandomForest,standard,variance,undersample,0.8196709956709956,1.0,0.9350908994937085,0.06849376543302316,0.18032900432900445,6
XGBoost,log,variance,smote,0.8192496229260936,1.0,0.9331021592076579,0.06691835277868483,0.1807503770739064,6
RandomForest,log,variance,smote,0.8189102564102564,1.0,0.9307345951150299,0.07749125197146976,0.1810897435897436,6
LightGBM,log,variance,none,0.817420814479638,1.0,0.936721595398066,0.07529316723223517,0.182579185520362,6
RandomForest,robust,variance,smote,0.8165158371040724,1.0,0.9297852527755958,0.0771639640878838,0.18348416289592762,6
RandomForest,robust,none,smote,0.8140086580086582,1.0,0.9354008920888718,0.06871000564875901,0.18599134199134182,6
RandomForest,log,variance,none,0.8114630467571644,1.0,0.9293258315994889,0.0794529630653573,0.1885369532428356,6
RandomForest,robust,variance,undersample,0.8109822775263952,1.0,0.9269607235621544,0.07943522983534804,0.18901772247360482,6
LightGBM,standard,variance,smote,0.8104415584415585,0.9994285714285714,0.928761607105597,0.07154099534958101,0.18898701298701293,6
LightGBM,log,variance,smote,0.8094834087481144,1.0,0.9378795647580151,0.07513536320801921,0.19051659125188558,6
RandomForest,log,variance,undersample,0.8088989441930619,1.0,0.9323187637880732,0.07640901685152982,0.19110105580693815,6
LightGBM,log,variance,undersample,0.808314479638009,1.0,0.9380164374935475,0.06708885891422903,0.19168552036199105,6
LightGBM,robust,variance,smote,0.8052601809954749,0.999809523809524,0.9340898206652682,0.07171343573242435,0.19454934281404912,6
RandomForest,none,none,none,0.8038268398268398,1.0,0.9313785625428848,0.07491640910439472,0.19617316017316022,6
RandomForest,robust,none,none,0.8038268398268398,1.0,0.9313785625428848,0.07491640910439472,0.19617316017316022,6
RandomForest,standard,none,none,0.8038268398268398,1.0,0.9313785625428848,0.07491640910439472,0.19617316017316022,6
RandomForest,log,none,none,0.8025281385281385,1.0,0.9319770502302472,0.07453189237521503,0.19747186147186147,6
XGBoost,log,variance,undersample,0.7972473604826545,0.996003996003996,0.9287024199877626,0.07325852212126623,0.19875663552134148,6
RandomForest,standard,none,smote,0.7971688311688311,1.0,0.9328722684675371,0.0747204739420267,0.20283116883116892,6
RandomForest,log,none,smote,0.7926580086580086,1.0,0.928981521320396,0.0782674580153684,0.20734199134199138,6
XGBoost,robust,variance,undersample,0.7915723981900452,1.0,0.933100209730887,0.07653507413761972,0.2084276018099548,6
RandomForest,none,none,smote,0.7912380952380953,1.0,0.9324199725750238,0.07635588884797638,0.2087619047619047,6
MLP,standard,f_classif,none,0.7896277056277057,1.0,0.9110692053860764,0.0748593533271037,0.21037229437229432,6
MLP,standard,random_forest,smote,0.7873939393939394,1.0,0.91922774111188,0.07357221726233132,0.21260606060606058,6
LightGBM,robust,variance,none,0.7868589743589745,0.9992380952380951,0.929401984488941,0.07957878125225507,0.2123791208791207,6
LightGBM,robust,variance,undersample,0.7723793363499245,0.992107892107892,0.9262059455471704,0.07614897420576257,0.21972855575796746,6
MLP,standard,random_forest,none,0.7719134199134199,1.0,0.909098508401379,0.08266383630597897,0.22808658008658012,6
LogisticRegression,robust,mutual_info,smote,0.7707186147186147,1.0,0.9015118878705835,0.08180391507271945,0.2292813852813853,6
LogisticRegression,standard,differential,smote,0.7691601731601732,1.0,0.8880020424304312,0.08509485335863419,0.23083982683982684,6
MLP,standard,random_forest,undersample,0.764952380952381,1.0,0.9087478467016125,0.08280249842495194,0.23504761904761895,6
LogisticRegression,standard,differential,none,0.7582510822510822,1.0,0.8874338280361297,0.08690078953014993,0.24174891774891782,6
MLP,standard,differential,undersample,0.7475757575757577,1.0,0.8930958072679918,0.09118796136880811,0.25242424242424233,6
MLP,standard,f_classif,undersample,0.7467359307359308,1.0,0.8938536919502614,0.08891750395140693,0.2532640692640692,6
LogisticRegression,standard,random_forest,undersample,0.7451601731601732,1.0,0.8871523120092615,0.08830404619322893,0.25483982683982676,6
MLP,standard,f_classif,smote,0.7430303030303032,1.0,0.8976586181250393,0.08925395989224477,0.25696969696969685,6
